zip_code,mean_pm25,sensor_count,std_pm25,median_income_usd,income_quintile
59912,9.902391304347827,322,8.840791195809299,69403,3
60190,14.492866242038216,157,8.13306066043731,139130,5
60542,10.537643604651162,172,9.810347561739219,105450,5
60652,10.185173501577287,317,7.640563865851546,76300,3
61761,15.638579881656804,169,8.240384244382602,64335,2
64060,7.244063492063493,315,5.506059371717047,107656,5
64106,8.900529595015577,321,5.8575694644752305,52576,1
64501,9.844890965732088,321,5.154541208119238,41308,1
66101,14.119435064935065,154,9.929604494177429,37192,1
66106,16.33826708074534,161,10.13085756411924,58539,2
68114,14.873755952380954,168,12.986716006777192,71484,3
74954,8.337492163009404,319,4.123899278995934,57949,2
75501,11.66952229299363,314,5.40123268037515,44064,1
76502,7.835947712418301,306,4.81516885125636,77704,3
76640,10.765348837209302,301,4.504965071404397,52074,1
77039,11.434857142857142,315,13.590482697961956,41988,1
77074,11.012075471698113,318,5.47471158803859,48196,1
77082,9.778187702265372,309,5.3822614450948745,55962,2
77536,7.623548387096775,31,3.205140192864265,90468,4
77586,9.103179916317991,239,4.4408668353156795,105076,5
77622,9.056428115015974,313,4.496887160763869,117779,5
80031,6.0764736842105265,171,5.487863886705764,102323,5
80109,4.14145134502924,171,3.3622446470122145,144034,5
81650,3.776349557522124,226,1.7333058784812276,75560,3
82941,3.9243843750000003,320,2.6071335667481277,95558,4
83301,5.1672115384615385,312,2.4819330929614463,59443,2
83805,7.720656565656566,198,14.526340684370878,57970,2
84042,6.727267080745341,322,4.25014692618711,101188,4
84104,8.297885714285714,140,10.484353868026883,59136,2
84105,7.582515527950311,322,5.581218410737593,90909,4
84335,7.249779874213836,318,4.9018707182199925,86017,4
85019,9.954330218068536,321,12.800332403032169,55674,2
85020,7.321246105919003,321,5.460255174199061,74622,3
85266,3.251198064516129,155,3.8401866360974126,150699,5
89104,8.53371875,320,6.280605983453869,48355,1
90002,12.375432098765431,162,6.345360813176668,54221,1
90291,9.964166666666667,168,4.590090265203351,111610,5
91108,11.641461988304094,171,7.062979597251692,173312,5
92028,11.353087719298244,171,7.050368031146531,96160,4
92352,5.045740909090909,143,4.004222648402579,104683,5
93103,7.891411764705882,85,2.456197774407184,104238,5
93546,10.500434782608695,23,5.126279421906539,86216,4
93561,2.15,5,0.36898509454990175,82093,4
95340,17.198187134502923,171,12.945120392962906,64809,2
95501,9.483428571428572,70,6.84783661716631,52222,1
96080,7.03644128113879,281,5.2158568126713165,58654,2
97828,5.878909657320873,321,4.012333687511259,54684,2
98053,3.694375,16,2.1547868224026243,171822,5
98110,9.539358974358976,78,11.048192464227204,151290,5
98208,26.258635220125782,159,72.49019446273986,98805,4
98221,9.414420408163265,245,9.143301091128107,90007,4
98225,12.073761755485894,319,22.148042370857517,61679,2
98261,6.135647368421052,171,7.30469307839601,73077,3
98403,10.87904678362573,171,11.469270642902773,81330,4
98466,10.064502923976608,171,9.978391368867307,89047,4
98625,5.514734693877551,49,6.3769851901699015,105873,5
98672,7.710458646616542,133,21.883839930729874,86250,4
99206,8.640877742946708,319,16.7761582241506,70641,3
99508,4.478514469453376,311,3.061440919274666,70823,3
